PS C:\Users\Mingde\OneDrive\2023 Sp\INFO 550\Final project\myCode> & 'C:\ProgramData\Anaconda3\python.exe' pacman.py -p PacmanDQN -n 15200 -x 15000 -l mediumClassic
Training model
Episode No. 208 | lose | Q(s,a) =  29.4191      | reward = -341.0       | epsilon = 0.9723
Episode No. 209 | lose | Q(s,a) =  29.0401      | reward = -455.0       | epsilon = 0.9721
Episode No. 210 | lose | Q(s,a) = -999.0000     | reward = -515.0       | epsilon = 0.9720
Episode No. 211 | lose | Q(s,a) =  29.7327      | reward = -406.0       | epsilon = 0.9719
Episode No. 212 | lose | Q(s,a) =  6.8658       | reward = -417.0       | epsilon = 0.9717
Episode No. 213 | lose | Q(s,a) = -999.0000     | reward = -431.0       | epsilon = 0.9716
Episode No. 214 | lose | Q(s,a) =  27.4293      | reward = -399.0       | epsilon = 0.9715
Episode No. 215 | lose | Q(s,a) =  29.8682      | reward = -486.0       | epsilon = 0.9713
Episode No. 216 | lose | Q(s,a) =  29.6921      | reward = -443.0       | epsilon = 0.9712
Episode No. 217 | lose | Q(s,a) =  0.1930       | reward = -452.0       | epsilon = 0.9711
Episode No. 218 | lose | Q(s,a) =  33.9343      | reward = -397.0       | epsilon = 0.9709
Episode No. 219 | lose | Q(s,a) =  27.3379      | reward = -492.0       | epsilon = 0.9708
Episode No. 220 | lose | Q(s,a) = -999.0000     | reward = -442.0       | epsilon = 0.9707
Episode No. 221 | lose | Q(s,a) =  28.9443      | reward = -496.0       | epsilon = 0.9705
Episode No. 222 | lose | Q(s,a) = -999.0000     | reward = -421.0       | epsilon = 0.9704
Episode No. 223 | lose | Q(s,a) =  30.8394      | reward = -468.0       | epsilon = 0.9703
Episode No. 224 | lose | Q(s,a) =  29.5679      | reward = -436.0       | epsilon = 0.9701
Episode No. 225 | lose | Q(s,a) =  17.0469      | reward = -361.0       | epsilon = 0.9700
Episode No. 226 | lose | Q(s,a) =  18.6751      | reward = -360.0       | epsilon = 0.9699
Episode No. 227 | lose | Q(s,a) = -999.0000     | reward = -469.0       | epsilon = 0.9697
Episode No. 228 | lose | Q(s,a) =  18.3378      | reward = -481.0       | epsilon = 0.9696
Episode No. 229 | lose | Q(s,a) = -999.0000     | reward = -452.0       | epsilon = 0.9695
Episode No. 230 | lose | Q(s,a) =  31.4079      | reward = -436.0       | epsilon = 0.9693
Episode No. 231 | lose | Q(s,a) =  28.0046      | reward = -407.0       | epsilon = 0.9692
Episode No. 232 | lose | Q(s,a) =  28.2876      | reward = -386.0       | epsilon = 0.9691
Episode No. 233 | lose | Q(s,a) = -999.0000     | reward = -430.0       | epsilon = 0.9689
Episode No. 234 | lose | Q(s,a) =  18.9412      | reward = -500.0       | epsilon = 0.9688
Episode No. 235 | lose | Q(s,a) =  30.8270      | reward = -488.0       | epsilon = 0.9687
Episode No. 236 | lose | Q(s,a) =  27.8024      | reward = -461.0       | epsilon = 0.9685
Episode No. 237 | lose | Q(s,a) =  27.0302      | reward = -419.0       | epsilon = 0.9684
Episode No. 238 | lose | Q(s,a) =  27.9381      | reward = -502.0       | epsilon = 0.9683
Episode No. 239 | lose | Q(s,a) =  34.2290      | reward = -367.0       | epsilon = 0.9681
Episode No. 240 | lose | Q(s,a) =  17.2005      | reward = -451.0       | epsilon = 0.9680
Episode No. 241 | lose | Q(s,a) =  25.9216      | reward = -373.0       | epsilon = 0.9679
Episode No. 242 | lose | Q(s,a) =  28.8980      | reward = -459.0       | epsilon = 0.9677
Episode No. 243 | lose | Q(s,a) =  17.9323      | reward = -494.0       | epsilon = 0.9676
Episode No. 244 | lose | Q(s,a) = -999.0000     | reward = -443.0       | epsilon = 0.9675
Episode No. 245 | lose | Q(s,a) =  17.4904      | reward = -482.0       | epsilon = 0.9673
Episode No. 246 | lose | Q(s,a) = -999.0000     | reward = -457.0       | epsilon = 0.9672
Episode No. 247 | lose | Q(s,a) =  17.2180      | reward = -565.0       | epsilon = 0.9671
Episode No. 248 | lose | Q(s,a) =  29.1657      | reward = -456.0       | epsilon = 0.9669
Episode No. 249 | lose | Q(s,a) =  17.1112      | reward = -466.0       | epsilon = 0.9668
Episode No. 250 | lose | Q(s,a) =  26.0962      | reward = -421.0       | epsilon = 0.9667
Episode No. 251 | lose | Q(s,a) =  29.7263      | reward = -460.0       | epsilon = 0.9665
Episode No. 252 | lose | Q(s,a) = -999.0000     | reward = -507.0       | epsilon = 0.9664
Episode No. 253 | lose | Q(s,a) =  31.3015      | reward = -487.0       | epsilon = 0.9663
Episode No. 254 | lose | Q(s,a) = -999.0000     | reward = -489.0       | epsilon = 0.9661
Episode No. 255 | lose | Q(s,a) =  31.5809      | reward = -381.0       | epsilon = 0.9660
